"0","??????????","1"
"1","bulbasaur","1"
"2","ivysaur","1"
"3","venusaur","1"
"4","charmander","1"
"5","charmeleon","1"
"6","charizard","1"
"7","squirtle","1"
"8","wartortle","1"
"9","blastoise","1"
"10","caterpie","1"
"11","metapod","1"
"12","butterfree","1"
"13","weedle","1"
"14","kakuna","1"
"15","beedrill","1"
"16","pidgey","1"
"17","pidgeotto","1"
"18","pidgeot","1"
"19","rattata","1"
"20","raticate","1"
"21","spearow","1"
"22","fearow","1"
"23","ekans","1"
"24","arbok","1"
"25","pikachu","1"
"26","raichu","1"
"27","sandshrew","1"
"28","sandslash","1"
"29","nidoran-f","1"
"30","nidorina","1"
"31","nidoqueen","1"
"32","nidoran-m","1"
"33","nidorino","1"
"34","nidoking","1"
"35","clefairy","1"
"36","clefable","1"
"37","vulpix","1"
"38","ninetales","1"
"39","jigglypuff","1"
"40","wigglytuff","1"
"41","zubat","1"
"42","golbat","1"
"43","oddish","1"
"44","gloom","1"
"45","vileplume","1"
"46","paras","1"
"47","parasect","1"
"48","venonat","1"
"49","venomoth","1"
"50","diglett","1"
"51","dugtrio","1"
"52","meowth","1"
"53","persian","1"
"54","psyduck","1"
"55","golduck","1"
"56","mankey","1"
"57","primeape","1"
"58","growlithe","1"
"59","arcanine","1"
"60","poliwag","1"
"61","poliwhirl","1"
"62","poliwrath","1"
"63","abra","1"
"64","kadabra","1"
"65","alakazam","1"
"66","machop","1"
"67","machoke","1"
"68","machamp","1"
"69","bellsprout","1"
"70","weepinbell","1"
"71","victreebel","1"
"72","tentacool","1"
"73","tentacruel","1"
"74","geodude","1"
"75","graveler","1"
"76","golem","1"
"77","ponyta","1"
"78","rapidash","1"
"79","slowpoke","1"
"80","slowbro","1"
"81","magnemite","1"
"82","magneton","1"
"83","farfetchd","1"
"84","doduo","1"
"85","dodrio","1"
"86","seel","1"
"87","dewgong","1"
"88","grimer","1"
"89","muk","1"
"90","shellder","1"
"91","cloyster","1"
"92","gastly","1"
"93","haunter","1"
"94","gengar","1"
"95","onix","1"
"96","drowzee","1"
"97","hypno","1"
"98","krabby","1"
"99","kingler","1"
"100","voltorb","1"
"101","electrode","1"
"102","exeggcute","1"
"103","exeggutor","1"
"104","cubone","1"
"105","marowak","1"
"106","hitmonlee","1"
"107","hitmonchan","1"
"108","lickitung","1"
"109","koffing","1"
"110","weezing","1"
"111","rhyhorn","1"
"112","rhydon","1"
"113","chansey","1"
"114","tangela","1"
"115","kangaskhan","1"
"116","horsea","1"
"117","seadra","1"
"118","goldeen","1"
"119","seaking","1"
"120","staryu","1"
"121","starmie","1"
"122","mr-mime","1"
"123","scyther","1"
"124","jynx","1"
"125","electabuzz","1"
"126","magmar","1"
"127","pinsir","1"
"128","tauros","1"
"129","magikarp","1"
"130","gyarados","1"
"131","lapras","1"
"132","ditto","1"
"133","eevee","1"
"134","vaporeon","1"
"135","jolteon","1"
"136","flareon","1"
"137","porygon","1"
"138","omanyte","1"
"139","omastar","1"
"140","kabuto","1"
"141","kabutops","1"
"142","aerodactyl","1"
"143","snorlax","1"
"144","articuno","1"
"145","zapdos","1"
"146","moltres","1"
"147","dratini","1"
"148","dragonair","1"
"149","dragonite","1"
"150","mewtwo","1"
"151","mew","1"
"152","chikorita","2"
"153","bayleef","2"
"154","meganium","2"
"155","cyndaquil","2"
"156","quilava","2"
"157","typhlosion","2"
"158","totodile","2"
"159","croconaw","2"
"160","feraligatr","2"
"161","sentret","2"
"162","furret","2"
"163","hoothoot","2"
"164","noctowl","2"
"165","ledyba","2"
"166","ledian","2"
"167","spinarak","2"
"168","ariados","2"
"169","crobat","2"
"170","chinchou","2"
"171","lanturn","2"
"172","pichu","2"
"173","cleffa","2"
"174","igglybuff","2"
"175","togepi","2"
"176","togetic","2"
"177","natu","2"
"178","xatu","2"
"179","mareep","2"
"180","flaaffy","2"
"181","ampharos","2"
"182","bellossom","2"
"183","marill","2"
"184","azumarill","2"
"185","sudowoodo","2"
"186","politoed","2"
"187","hoppip","2"
"188","skiploom","2"
"189","jumpluff","2"
"190","aipom","2"
"191","sunkern","2"
"192","sunflora","2"
"193","yanma","2"
"194","wooper","2"
"195","quagsire","2"
"196","espeon","2"
"197","umbreon","2"
"198","murkrow","2"
"199","slowking","2"
"200","misdreavus","2"
"201","unown","2"
"202","wobbuffet","2"
"203","girafarig","2"
"204","pineco","2"
"205","forretress","2"
